id,part,question,band,sample_answer,topic,keywords
P0002_B075,1,Do you work or are you a student?,7.5,"That's an interesting question. From my perspective, work plays a significant role in my personal experience. Specifically, I find it quite beneficial because it helps me in various aspects of my daily life. For instance, I regularly engage with this in my routine activities.",Work/Study,"that's, interesting, question, perspective, work, plays, significant, role, personal, experience"
P0002_B080,1,Do you work or are you a student?,8.0,"That's an interesting question. From my perspective, work plays a significant role in my personal experience. Specifically, I find it quite beneficial because it helps me in various aspects of my daily life. For instance, I regularly engage with this in my routine activities.",Work/Study,"that's, interesting, question, perspective, work, plays, significant, role, personal, experience"
P0003_B020,1,What do you study?,2.0,"Um... I think study? is okay. Sometimes I... you know... use it, and yes, it's useful for me. I like it because... um... it helps me do things.",Work/Study,"think, study, okay, sometimes, know, it's, useful, like, because, helps"
P0003_B030,1,What do you study?,3.0,"Um... I think study? is okay. Sometimes I... you know... use it, and yes, it's useful for me. I like it because... um... it helps me do things.",Work/Study,"think, study, okay, sometimes, know, it's, useful, like, because, helps"
P0003_B035,1,What do you study?,3.5,"Um... I think study? is okay. Sometimes I... you know... use it, and yes, it's useful for me. I like it because... um... it helps me do things.",Work/Study,"think, study, okay, sometimes, know, it's, useful, like, because, helps"
P0003_B040,1,What do you study?,4.0,"Um, I am study business at the college. It's, uh, interesting, I learn about many things like, um, how to manage money and marketing. But is very difficult for me sometime. I think it is good for my future job. So, I try my best to understand everything.",Work/Study,"study, business, college, it's, interesting, learn, about, many, things, like"
P0003_B045,1,What do you study?,4.5,"Um... I think study? is okay. Sometimes I... you know... use it, and yes, it's useful for me. I like it because... um... it helps me do things.",Work/Study,"think, study, okay, sometimes, know, it's, useful, like, because, helps"
P0003_B055,1,What do you study?,5.5,"Um... I think study? is okay. Sometimes I... you know... use it, and yes, it's useful for me. I like it because... um... it helps me do things.",Work/Study,"think, study, okay, sometimes, know, it's, useful, like, because, helps"
P0003_B060,1,What do you study?,6.0,"Well, I would say that study? is quite important to me. I usually spend time on this, and I find it helpful for different reasons. For example, it helps me with my daily activities.",Work/Study,"well, study, quite, important, usually, spend, time, find, helpful, different"
P0003_B065,1,What do you study?,6.5,"Well, I would say that study? is quite important to me. I usually spend time on this, and I find it helpful for different reasons. For example, it helps me with my daily activities.",Work/Study,"well, study, quite, important, usually, spend, time, find, helpful, different"
P0003_B070,1,What do you study?,7.0,"That's an interesting question. From my perspective, study? plays a significant role in my personal experience. Specifically, I find it quite beneficial because it helps me in various aspects of my daily life. For instance, I regularly engage with this in my routine activities.",Work/Study,"that's, interesting, question, perspective, study, plays, significant, role, personal, experience"
P0003_B075,1,What do you study?,7.5,"That's an interesting question. From my perspective, study? plays a significant role in my personal experience. Specifically, I find it quite beneficial because it helps me in various aspects of my daily life. For instance, I regularly engage with this in my routine activities.",Work/Study,"that's, interesting, question, perspective, study, plays, significant, role, personal, experience"
P0003_B080,1,What do you study?,8.0,"That's an interesting question. From my perspective, study? plays a significant role in my personal experience. Specifically, I find it quite beneficial because it helps me in various aspects of my daily life. For instance, I regularly engage with this in my routine activities.",Work/Study,"that's, interesting, question, perspective, study, plays, significant, role, personal, experience"
P0004_B020,1,Do you like using technology?,2.0,"Um... I think like is okay. Sometimes I... you know... use it, and yes, it's useful for me. I like it because... um... it helps me do things.",Technology,"like, think, okay, sometimes, know, it's, useful, because, helps, things"
P0004_B030,1,Do you like using technology?,3.0,"Um... I think like is okay. Sometimes I... you know... use it, and yes, it's useful for me. I like it because... um... it helps me do things.",Technology,"like, think, okay, sometimes, know, it's, useful, because, helps, things"
P0004_B035,1,Do you like using technology?,3.5,"Um... I think like is okay. Sometimes I... you know... use it, and yes, it's useful for me. I like it because... um... it helps me do things.",Technology,"like, think, okay, sometimes, know, it's, useful, because, helps, things"
P0004_B040,1,Do you like using technology?,4.0,"Um... I think like is okay. Sometimes I... you know... use it, and yes, it's useful for me. I like it because... um... it helps me do things.",Technology,"like, think, okay, sometimes, know, it's, useful, because, helps, things"
P0004_B045,1,Do you like using technology?,4.5,"Um... I think like is okay. Sometimes I... you know... use it, and yes, it's useful for me. I like it because... um... it helps me do things.",Technology,"like, think, okay, sometimes, know, it's, useful, because, helps, things"
P0004_B055,1,Do you like using technology?,5.5,"Um... I think like is okay. Sometimes I... you know... use it, and yes, it's useful for me. I like it because... um... it helps me do things.",Technology,"like, think, okay, sometimes, know, it's, useful, because, helps, things"
P0004_B060,1,Do you like using technology?,6.0,"Well, I would say that like is quite important to me. I usually spend time on this, and I find it helpful for different reasons. For example, it helps me with my daily activities.",Technology,"well, like, quite, important, usually, spend, time, find, helpful, different"
P0004_B065,1,Do you like using technology?,6.5,"Well, I would say that like is quite important to me. I usually spend time on this, and I find it helpful for different reasons. For example, it helps me with my daily activities.",Technology,"well, like, quite, important, usually, spend, time, find, helpful, different"
P0004_B070,1,Do you like using technology?,7.0,"That's an interesting question. From my perspective, like plays a significant role in my personal experience. Specifically, I find it quite beneficial because it helps me in various aspects of my daily life. For instance, I regularly engage with this in my routine activities.",Technology,"that's, interesting, question, perspective, like, plays, significant, role, personal, experience"
P0004_B075,1,Do you like using technology?,7.5,"That's an interesting question. From my perspective, like plays a significant role in my personal experience. Specifically, I find it quite beneficial because it helps me in various aspects of my daily life. For instance, I regularly engage with this in my routine activities.",Technology,"that's, interesting, question, perspective, like, plays, significant, role, personal, experience"
P0004_B080,1,Do you like using technology?,8.0,"That's an interesting question. From my perspective, like plays a significant role in my personal experience. Specifically, I find it quite beneficial because it helps me in various aspects of my daily life. For instance, I regularly engage with this in my routine activities.",Technology,"that's, interesting, question, perspective, like, plays, significant, role, personal, experience"
P0005_B020,1,What technology do you use every day?,2.0,"Um... I think technology is okay. Sometimes I... you know... use it, and yes, it's useful for me. I like it because... um... it helps me do things.",Technology,"think, technology, okay, sometimes, know, it's, useful, like, because, helps"
P0005_B030,1,What technology do you use every day?,3.0,"Um... I think technology is okay. Sometimes I... you know... use it, and yes, it's useful for me. I like it because... um... it helps me do things.",Technology,"think, technology, okay, sometimes, know, it's, useful, like, because, helps"
P0005_B035,1,What technology do you use every day?,3.5,"Um... I think technology is okay. Sometimes I... you know... use it, and yes, it's useful for me. I like it because... um... it helps me do things.",Technology,"think, technology, okay, sometimes, know, it's, useful, like, because, helps"
P0005_B040,1,What technology do you use every day?,4.0,"Um... I think technology is okay. Sometimes I... you know... use it, and yes, it's useful for me. I like it because... um... it helps me do things.",Technology,"think, technology, okay, sometimes, know, it's, useful, like, because, helps"
P0005_B045,1,What technology do you use every day?,4.5,"Um... I think technology is okay. Sometimes I... you know... use it, and yes, it's useful for me. I like it because... um... it helps me do things.",Technology,"think, technology, okay, sometimes, know, it's, useful, like, because, helps"
P0005_B055,1,What technology do you use every day?,5.5,"Um... I think technology is okay. Sometimes I... you know... use it, and yes, it's useful for me. I like it because... um... it helps me do things.",Technology,"think, technology, okay, sometimes, know, it's, useful, like, because, helps"
P0005_B060,1,What technology do you use every day?,6.0,"Well, I would say that technology is quite important to me. I usually spend time on this, and I find it helpful for different reasons. For example, it helps me with my daily activities.",Technology,"well, technology, quite, important, usually, spend, time, find, helpful, different"
P0005_B065,1,What technology do you use every day?,6.5,"Well, I would say that technology is quite important to me. I usually spend time on this, and I find it helpful for different reasons. For example, it helps me with my daily activities.",Technology,"well, technology, quite, important, usually, spend, time, find, helpful, different"
P0005_B070,1,What technology do you use every day?,7.0,"That's an interesting question. From my perspective, technology plays a significant role in my personal experience. Specifically, I find it quite beneficial because it helps me in various aspects of my daily life. For instance, I regularly engage with this in my routine activities.",Technology,"that's, interesting, question, perspective, technology, plays, significant, role, personal, experience"
P0005_B075,1,What technology do you use every day?,7.5,"That's an interesting question. From my perspective, technology plays a significant role in my personal experience. Specifically, I find it quite beneficial because it helps me in various aspects of my daily life. For instance, I regularly engage with this in my routine activities.",Technology,"that's, interesting, question, perspective, technology, plays, significant, role, personal, experience"
P0005_B080,1,What technology do you use every day?,8.0,"That's an interesting question. From my perspective, technology plays a significant role in my personal experience. Specifically, I find it quite beneficial because it helps me in various aspects of my daily life. For instance, I regularly engage with this in my routine activities.",Technology,"that's, interesting, question, perspective, technology, plays, significant, role, personal, experience"
P0006_B020,1,What's your favorite food?,2.0,"Um... I think what's is okay. Sometimes I... you know... use it, and yes, it's useful for me. I like it because... um... it helps me do things.",Food,"think, what's, okay, sometimes, know, it's, useful, like, because, helps"
P0006_B030,1,What's your favorite food?,3.0,"Um... I think what's is okay. Sometimes I... you know... use it, and yes, it's useful for me. I like it because... um... it helps me do things.",Food,"think, what's, okay, sometimes, know, it's, useful, like, because, helps"
P0006_B035,1,What's your favorite food?,3.5,"Um... I think what's is okay. Sometimes I... you know... use it, and yes, it's useful for me. I like it because... um... it helps me do things.",Food,"think, what's, okay, sometimes, know, it's, useful, like, because, helps"
P0006_B040,1,What's your favorite food?,4.0,"Um... I think what's is okay. Sometimes I... you know... use it, and yes, it's useful for me. I like it because... um... it helps me do things.",Food,"think, what's, okay, sometimes, know, it's, useful, like, because, helps"
P0006_B045,1,What's your favorite food?,4.5,"Um... I think what's is okay. Sometimes I... you know... use it, and yes, it's useful for me. I like it because... um... it helps me do things.",Food,"think, what's, okay, sometimes, know, it's, useful, like, because, helps"
P0006_B055,1,What's your favorite food?,5.5,"Um... I think what's is okay. Sometimes I... you know... use it, and yes, it's useful for me. I like it because... um... it helps me do things.",Food,"think, what's, okay, sometimes, know, it's, useful, like, because, helps"
P0006_B060,1,What's your favorite food?,6.0,"Well, I would say that what's is quite important to me. I usually spend time on this, and I find it helpful for different reasons. For example, it helps me with my daily activities.",Food,"well, what's, quite, important, usually, spend, time, find, helpful, different"
P0006_B065,1,What's your favorite food?,6.5,"Well, I would say that what's is quite important to me. I usually spend time on this, and I find it helpful for different reasons. For example, it helps me with my daily activities.",Food,"well, what's, quite, important, usually, spend, time, find, helpful, different"
P0006_B070,1,What's your favorite food?,7.0,"That's an interesting question. From my perspective, what's plays a significant role in my personal experience. Specifically, I find it quite beneficial because it helps me in various aspects of my daily life. For instance, I regularly engage with this in my routine activities.",Food,"that's, interesting, question, perspective, what's, plays, significant, role, personal, experience"
P0006_B075,1,What's your favorite food?,7.5,"That's an interesting question. From my perspective, what's plays a significant role in my personal experience. Specifically, I find it quite beneficial because it helps me in various aspects of my daily life. For instance, I regularly engage with this in my routine activities.",Food,"that's, interesting, question, perspective, what's, plays, significant, role, personal, experience"
P0006_B080,1,What's your favorite food?,8.0,"That's an interesting question. From my perspective, what's plays a significant role in my personal experience. Specifically, I find it quite beneficial because it helps me in various aspects of my daily life. For instance, I regularly engage with this in my routine activities.",Food,"that's, interesting, question, perspective, what's, plays, significant, role, personal, experience"
P0007_B020,1,Do you like cooking?,2.0,"Um... I think like is okay. Sometimes I... you know... use it, and yes, it's useful for me. I like it because... um... it helps me do things.",Food,"like, think, okay, sometimes, know, it's, useful, because, helps, things"
P0007_B030,1,Do you like cooking?,3.0,"Um... I think like is okay. Sometimes I... you know... use it, and yes, it's useful for me. I like it because... um... it helps me do things.",Food,"like, think, okay, sometimes, know, it's, useful, because, helps, things"
P0007_B035,1,Do you like cooking?,3.5,"Um... I think like is okay. Sometimes I... you know... use it, and yes, it's useful for me. I like it because... um... it helps me do things.",Food,"like, think, okay, sometimes, know, it's, useful, because, helps, things"
P0007_B040,1,Do you like cooking?,4.0,"Um... I think like is okay. Sometimes I... you know... use it, and yes, it's useful for me. I like it because... um... it helps me do things.",Food,"like, think, okay, sometimes, know, it's, useful, because, helps, things"
P0007_B045,1,Do you like cooking?,4.5,"Um... I think like is okay. Sometimes I... you know... use it, and yes, it's useful for me. I like it because... um... it helps me do things.",Food,"like, think, okay, sometimes, know, it's, useful, because, helps, things"
P0007_B055,1,Do you like cooking?,5.5,"Um... I think like is okay. Sometimes I... you know... use it, and yes, it's useful for me. I like it because... um... it helps me do things.",Food,"like, think, okay, sometimes, know, it's, useful, because, helps, things"
P0007_B060,1,Do you like cooking?,6.0,"Well, I would say that like is quite important to me. I usually spend time on this, and I find it helpful for different reasons. For example, it helps me with my daily activities.",Food,"well, like, quite, important, usually, spend, time, find, helpful, different"
P0007_B065,1,Do you like cooking?,6.5,"Well, I would say that like is quite important to me. I usually spend time on this, and I find it helpful for different reasons. For example, it helps me with my daily activities.",Food,"well, like, quite, important, usually, spend, time, find, helpful, different"
P0007_B070,1,Do you like cooking?,7.0,"That's an interesting question. From my perspective, like plays a significant role in my personal experience. Specifically, I find it quite beneficial because it helps me in various aspects of my daily life. For instance, I regularly engage with this in my routine activities.",Food,"that's, interesting, question, perspective, like, plays, significant, role, personal, experience"
P0007_B075,1,Do you like cooking?,7.5,"That's an interesting question. From my perspective, like plays a significant role in my personal experience. Specifically, I find it quite beneficial because it helps me in various aspects of my daily life. For instance, I regularly engage with this in my routine activities.",Food,"that's, interesting, question, perspective, like, plays, significant, role, personal, experience"
P0007_B080,1,Do you like cooking?,8.0,"That's an interesting question. From my perspective, like plays a significant role in my personal experience. Specifically, I find it quite beneficial because it helps me in various aspects of my daily life. For instance, I regularly engage with this in my routine activities.",Food,"that's, interesting, question, perspective, like, plays, significant, role, personal, experience"
P0008_B020,1,Do you like sports?,2.0,"Um... I think like is okay. Sometimes I... you know... use it, and yes, it's useful for me. I like it because... um... it helps me do things.",Sports,"like, think, okay, sometimes, know, it's, useful, because, helps, things"
P0008_B030,1,Do you like sports?,3.0,"Um... I think like is okay. Sometimes I... you know... use it, and yes, it's useful for me. I like it because... um... it helps me do things.",Sports,"like, think, okay, sometimes, know, it's, useful, because, helps, things"
P0008_B035,1,Do you like sports?,3.5,"Um... I think like is okay. Sometimes I... you know... use it, and yes, it's useful for me. I like it because... um... it helps me do things.",Sports,"like, think, okay, sometimes, know, it's, useful, because, helps, things"
P0008_B040,1,Do you like sports?,4.0,"Um... I think like is okay. Sometimes I... you know... use it, and yes, it's useful for me. I like it because... um... it helps me do things.",Sports,"like, think, okay, sometimes, know, it's, useful, because, helps, things"
P0008_B045,1,Do you like sports?,4.5,"Um... I think like is okay. Sometimes I... you know... use it, and yes, it's useful for me. I like it because... um... it helps me do things.",Sports,"like, think, okay, sometimes, know, it's, useful, because, helps, things"
P0008_B055,1,Do you like sports?,5.5,"Um... I think like is okay. Sometimes I... you know... use it, and yes, it's useful for me. I like it because... um... it helps me do things.",Sports,"like, think, okay, sometimes, know, it's, useful, because, helps, things"
P0008_B060,1,Do you like sports?,6.0,"Well, I would say that like is quite important to me. I usually spend time on this, and I find it helpful for different reasons. For example, it helps me with my daily activities.",Sports,"well, like, quite, important, usually, spend, time, find, helpful, different"
P0008_B065,1,Do you like sports?,6.5,"Well, I would say that like is quite important to me. I usually spend time on this, and I find it helpful for different reasons. For example, it helps me with my daily activities.",Sports,"well, like, quite, important, usually, spend, time, find, helpful, different"
P0008_B070,1,Do you like sports?,7.0,"That's an interesting question. From my perspective, like plays a significant role in my personal experience. Specifically, I find it quite beneficial because it helps me in various aspects of my daily life. For instance, I regularly engage with this in my routine activities.",Sports,"that's, interesting, question, perspective, like, plays, significant, role, personal, experience"
P0008_B075,1,Do you like sports?,7.5,"That's an interesting question. From my perspective, like plays a significant role in my personal experience. Specifically, I find it quite beneficial because it helps me in various aspects of my daily life. For instance, I regularly engage with this in my routine activities.",Sports,"that's, interesting, question, perspective, like, plays, significant, role, personal, experience"
P0008_B080,1,Do you like sports?,8.0,"That's an interesting question. From my perspective, like plays a significant role in my personal experience. Specifically, I find it quite beneficial because it helps me in various aspects of my daily life. For instance, I regularly engage with this in my routine activities.",Sports,"that's, interesting, question, perspective, like, plays, significant, role, personal, experience"
P0009_B020,1,What sports are popular in your country?,2.0,"Um... I think sports is okay. Sometimes I... you know... use it, and yes, it's useful for me. I like it because... um... it helps me do things.",Sports,"think, sports, okay, sometimes, know, it's, useful, like, because, helps"
P0009_B030,1,What sports are popular in your country?,3.0,"Um... I think sports is okay. Sometimes I... you know... use it, and yes, it's useful for me. I like it because... um... it helps me do things.",Sports,"think, sports, okay, sometimes, know, it's, useful, like, because, helps"
P0009_B035,1,What sports are popular in your country?,3.5,"Um... I think sports is okay. Sometimes I... you know... use it, and yes, it's useful for me. I like it because... um... it helps me do things.",Sports,"think, sports, okay, sometimes, know, it's, useful, like, because, helps"
P0009_B040,1,What sports are popular in your country?,4.0,"Um... I think sports is okay. Sometimes I... you know... use it, and yes, it's useful for me. I like it because... um... it helps me do things.",Sports,"think, sports, okay, sometimes, know, it's, useful, like, because, helps"
P0009_B045,1,What sports are popular in your country?,4.5,"Um... I think sports is okay. Sometimes I... you know... use it, and yes, it's useful for me. I like it because... um... it helps me do things.",Sports,"think, sports, okay, sometimes, know, it's, useful, like, because, helps"
P0009_B055,1,What sports are popular in your country?,5.5,"Um... I think sports is okay. Sometimes I... you know... use it, and yes, it's useful for me. I like it because... um... it helps me do things.",Sports,"think, sports, okay, sometimes, know, it's, useful, like, because, helps"
P0009_B060,1,What sports are popular in your country?,6.0,"Well, I would say that sports is quite important to me. I usually spend time on this, and I find it helpful for different reasons. For example, it helps me with my daily activities.",Sports,"well, sports, quite, important, usually, spend, time, find, helpful, different"
P0009_B065,1,What sports are popular in your country?,6.5,"Well, I would say that sports is quite important to me. I usually spend time on this, and I find it helpful for different reasons. For example, it helps me with my daily activities.",Sports,"well, sports, quite, important, usually, spend, time, find, helpful, different"
P0009_B070,1,What sports are popular in your country?,7.0,"That's an interesting question. From my perspective, sports plays a significant role in my personal experience. Specifically, I find it quite beneficial because it helps me in various aspects of my daily life. For instance, I regularly engage with this in my routine activities.",Sports,"that's, interesting, question, perspective, sports, plays, significant, role, personal, experience"
P0009_B075,1,What sports are popular in your country?,7.5,"That's an interesting question. From my perspective, sports plays a significant role in my personal experience. Specifically, I find it quite beneficial because it helps me in various aspects of my daily life. For instance, I regularly engage with this in my routine activities.",Sports,"that's, interesting, question, perspective, sports, plays, significant, role, personal, experience"
P0009_B080,1,What sports are popular in your country?,8.0,"That's an interesting question. From my perspective, sports plays a significant role in my personal experience. Specifically, I find it quite beneficial because it helps me in various aspects of my daily life. For instance, I regularly engage with this in my routine activities.",Sports,"that's, interesting, question, perspective, sports, plays, significant, role, personal, experience"
P0010_B020,2,"Describe a person who has influenced you.
You should say:
• Who this person is
• How you know them
• What they have done
• And explain why they influenced you

You will have to speak about the topic for 1-2 minutes.
You have 1 minute to think about what you're going to say.",2.0,"I would like to describe person who has influenced you. This is something that I find particularly interesting and meaningful. Based on my personal experience, I have several points to share about this topic. First, let me tell you about my main impressions...",People,"about, like, describe, person, influenced, something, find, particularly, interesting, meaningful"
P0010_B030,2,"Describe a person who has influenced you.
You should say:
• Who this person is
• How you know them
• What they have done
• And explain why they influenced you

You will have to speak about the topic for 1-2 minutes.
You have 1 minute to think about what you're going to say.",3.0,"I would like to describe person who has influenced you. This is something that I find particularly interesting and meaningful. Based on my personal experience, I have several points to share about this topic. First, let me tell you about my main impressions...",People,"about, like, describe, person, influenced, something, find, particularly, interesting, meaningful"
P0010_B035,2,"Describe a person who has influenced you.
You should say:
• Who this person is
• How you know them
• What they have done
• And explain why they influenced you

You will have to speak about the topic for 1-2 minutes.
You have 1 minute to think about what you're going to say.",3.5,"I would like to describe person who has influenced you. This is something that I find particularly interesting and meaningful. Based on my personal experience, I have several points to share about this topic. First, let me tell you about my main impressions...",People,"about, like, describe, person, influenced, something, find, particularly, interesting, meaningful"
P0010_B040,2,"Describe a person who has influenced you.
You should say:
• Who this person is
• How you know them
• What they have done
• And explain why they influenced you

You will have to speak about the topic for 1-2 minutes.
You have 1 minute to think about what you're going to say.",4.0,"I would like to describe person who has influenced you. This is something that I find particularly interesting and meaningful. Based on my personal experience, I have several points to share about this topic. First, let me tell you about my main impressions...",People,"about, like, describe, person, influenced, something, find, particularly, interesting, meaningful"
